,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,jumla,29.27,82.18,61.14,69.0,96.0,1.12,NP,1600190614.0
84,puerto escondido,15.85,-97.07,86.0,62.0,40.0,4.7,MX,1600190614.0
87,atuona,-9.8,-139.03,78.19,74.0,0.0,16.2,PF,1600190615.0
88,winton,37.39,-120.61,71.6,53.0,1.0,10.29,NZ,1600190380.0
89,kharp,66.8,65.81,46.76,93.0,84.0,1.66,RU,1600190615.0
90,florianopolis,-27.61,-48.5,66.99,55.0,75.0,4.7,BR,1600190458.0
91,waw,7.7,28.0,76.06,84.0,25.0,2.06,SD,1600190616.0
92,bafoulabe,13.81,-10.83,90.91,64.0,82.0,1.16,ML,1600190458.0
93,turukhansk,65.82,87.98,50.95,81.0,50.0,9.93,RU,1600190616.0
94,yellowknife,62.46,-114.35,30.99,46.0,20.0,17.22,CA,1600190443.0
95,lasa,46.62,10.7,68.0,77.0,5.0,3.36,CN,1600190460.0
96,georgetown,5.41,100.34,80.6,83.0,20.0,2.77,SH,1600190437.0
97,russell,32.35,-85.2,84.2,69.0,90.0,13.87,NZ,1600190459.0
99,inirida,3.87,-67.92,92.44,52.0,91.0,2.68,CO,1600190459.0
100,heidelberg,-26.5,28.36,69.01,37.0,53.0,7.47,ZA,1600190617.0
101,east london,-33.02,27.91,59.0,77.0,40.0,5.82,ZA,1600190357.0
102,awbari,26.59,12.78,90.23,18.0,0.0,11.61,LY,1600190460.0
103,kuminskiy,58.67,66.57,51.64,95.0,100.0,8.63,RU,1600190617.0
104,husavik,66.04,-17.34,53.6,54.0,75.0,6.93,IS,1600190618.0
105,temascalcingo,19.92,-100.0,73.99,71.0,67.0,5.99,MX,1600190618.0
106,kamaishi,39.27,141.88,66.58,82.0,100.0,1.66,JP,1600190461.0
109,kingsville,27.52,-97.86,84.2,74.0,90.0,8.05,US,1600190618.0
110,araguari,-18.65,-48.19,90.05,19.0,0.0,10.89,BR,1600190462.0
111,killybegs,54.63,-8.45,68.0,82.0,75.0,2.24,IE,1600190463.0
112,zabol,32.25,67.25,62.33,27.0,0.0,5.28,IR,1600190619.0
113,calvinia,-31.47,19.78,51.37,48.0,10.0,9.08,ZA,1600190619.0
114,bogdand,47.42,22.93,73.4,68.0,23.0,4.7,RO,1600190619.0
115,laguna,38.42,-121.42,69.01,68.0,1.0,3.94,BR,1600190459.0
116,puerto ayora,-0.74,-90.35,75.2,60.0,40.0,19.46,EC,1600190620.0
118,broome,42.25,-75.83,62.01,47.0,20.0,4.7,AU,1600190620.0
119,whitehorse,60.72,-135.05,39.2,64.0,75.0,13.87,CA,1600190620.0
120,ust-kuyga,70.02,135.6,39.58,81.0,46.0,3.33,RU,1600190620.0
121,plaster rock,46.91,-67.39,57.2,41.0,1.0,9.17,CA,1600190621.0
122,cidreira,-30.18,-50.21,60.44,66.0,89.0,21.12,BR,1600190465.0
123,kirovsk,48.64,38.64,65.05,56.0,0.0,5.57,RU,1600190621.0
124,apud,13.14,123.29,79.63,87.0,100.0,9.53,PH,1600190590.0
125,punta arenas,-53.15,-70.92,41.0,64.0,40.0,32.21,CL,1600190370.0
126,henties bay,-22.12,14.28,55.99,81.0,0.0,5.99,NA,1600190472.0
127,ferrol,43.48,-8.24,73.99,70.0,69.0,4.0,ES,1600190622.0
128,talnakh,69.49,88.4,55.4,71.0,40.0,13.42,RU,1600190622.0
129,tilichiki,60.47,166.1,37.69,92.0,32.0,5.41,RU,1600190622.0
130,san cristobal,7.77,-72.22,93.2,36.0,20.0,13.87,EC,1600190622.0
131,dukhovnitskoye,52.48,48.21,55.24,67.0,68.0,16.2,RU,1600190622.0
132,nova olimpia,-14.8,-57.29,105.71,15.0,3.0,4.7,BR,1600190623.0
133,clyde river,70.47,-68.59,37.4,74.0,90.0,9.17,CA,1600190510.0
135,dwarka,22.24,68.97,82.9,82.0,99.0,12.44,IN,1600190623.0
136,mobaye,4.32,21.18,71.06,93.0,33.0,1.12,CF,1600190468.0
137,north bend,43.41,-124.22,69.8,68.0,1.0,4.7,US,1600190469.0
138,makakilo city,21.35,-158.09,75.2,83.0,1.0,3.36,US,1600190469.0
139,new norfolk,-42.78,147.06,50.0,69.0,100.0,1.99,AU,1600190344.0
140,victoria,22.29,114.16,84.0,83.0,86.0,8.01,SC,1600190579.0
142,katherine,-14.47,132.27,82.4,28.0,90.0,4.7,AU,1600190469.0
143,adre,13.47,22.2,71.46,77.0,97.0,6.06,TD,1600190470.0
144,samarai,-10.62,150.67,78.58,87.0,40.0,14.74,PG,1600190359.0
145,sines,37.96,-8.87,73.0,77.0,25.0,5.01,PT,1600190625.0
146,taoudenni,22.68,-3.98,112.46,7.0,19.0,19.24,ML,1600190625.0
147,cap-aux-meules,47.38,-61.86,55.4,58.0,75.0,12.75,CA,1600190471.0
149,hobart,-42.88,147.33,51.8,62.0,100.0,14.99,AU,1600190467.0
151,mirnyy,62.54,113.96,42.8,75.0,0.0,4.47,RU,1600190484.0
152,cherskiy,68.75,161.3,39.88,81.0,100.0,4.68,RU,1600190626.0
153,ilulissat,69.22,-51.1,46.4,42.0,75.0,18.34,GL,1600190626.0
154,kuching,1.55,110.33,73.4,100.0,40.0,4.7,MY,1600190626.0
155,alugan,12.22,125.48,81.01,82.0,100.0,7.38,PH,1600190472.0
156,filadelfia,39.95,-75.16,66.99,48.0,75.0,8.05,PY,1600190436.0
157,portales,34.19,-103.33,79.0,41.0,1.0,11.41,US,1600190472.0
158,psebay,44.12,40.81,59.99,62.0,0.0,3.0,RU,1600190473.0
159,zhigalovo,54.81,105.16,41.92,89.0,69.0,0.96,RU,1600190627.0
160,komsomolskiy,40.43,71.72,66.2,42.0,0.0,4.7,RU,1600190627.0
161,la ligua,-32.45,-71.23,51.8,81.0,90.0,8.05,CL,1600190627.0
162,smithers,54.78,-127.17,42.8,87.0,40.0,6.93,CA,1600190472.0
163,pundaguitan,6.37,126.17,80.1,83.0,100.0,12.84,PH,1600190473.0
164,torbay,47.67,-52.73,59.0,54.0,90.0,20.8,CA,1600190487.0
165,velizh,55.61,31.2,58.41,95.0,90.0,3.49,RU,1600190628.0
166,marsh harbour,26.54,-77.06,84.02,65.0,6.0,6.64,BS,1600190628.0
167,san patricio,19.22,-104.7,86.0,74.0,75.0,17.22,MX,1600190459.0
168,sanski most,44.77,16.67,80.6,47.0,0.0,2.24,BA,1600190475.0
169,te anau,-45.42,167.72,37.4,86.0,75.0,7.4,NZ,1600190629.0
170,micheweni,-4.97,39.83,77.14,82.0,1.0,12.44,TZ,1600190629.0
